[17:32:03] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:03] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:03] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:03] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:04] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:04] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:04] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:04] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:04] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:04] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:04] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:05] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:32:33] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['person']
[17:32:34] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['person']
[17:32:34] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['person']
[17:32:50] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:50] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:50] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:50] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:50] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:50] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[17:32:50] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:51] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:51] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:51] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:51] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[17:32:51] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:51] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:52] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:52] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:52] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:52] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:52] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[17:32:52] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:52] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[17:32:53] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:53] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:53] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[17:32:53] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[17:32:53] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:53] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:53] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:54] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:54] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:54] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:54] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[17:32:54] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[17:32:54] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[17:32:55] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[17:32:55] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:55] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:55] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:55] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:55] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:55] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:56] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[17:32:56] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['car', 'truck', 'person']
[17:32:56] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['car', 'truck']
[17:32:56] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[17:32:56] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[17:32:56] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[17:32:57] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['car', 'person']
[17:32:57] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['car', 'person']
[17:32:57] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:57] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:57] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[17:32:57] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:57] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:58] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:58] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:59] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:59] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:32:59] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:59] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:59] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:32:59] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:33:00] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:33:00] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:33:00] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:33:00] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:00] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:00] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:00] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:01] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:01] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:01] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:33:01] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:33:01] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:33:01] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[17:33:01] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[17:33:02] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:33:02] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[17:33:02] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[17:33:02] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[17:33:02] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:33:02] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[17:33:03] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:33:03] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:33:03] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
